year,cod,asdr
1989,Tuberculosis,0.9
1990,Tuberculosis,0.8
1991,Tuberculosis,0.7
1992,Tuberculosis,0.7
1993,Tuberculosis,0.7
1994,Tuberculosis,0.6
1995,Tuberculosis,0.6
1996,Tuberculosis,0.5
1997,Tuberculosis,0.4
1998,Tuberculosis,0.4
